id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acróbata,"Cada noche*, si cualquiera de tus vecinos vivos buenos es emborrachado o envenenado, moris.",,"Si un vecino vivo bueno es emborrachado o envenenado, el Acrobata muere.",,Muerto
alchemist,Alquimista,Tenes la habilidad de un Secuaz que no esté en juego.,Mostrale al Alquimista la ficha de un Secuaz que no esté en juego,,Es el Alquimista,
alhadikhia,Al-Hadikhia,"Cada noche*, Elegí tres jugadores (todos saben quienes elegiste): cada uno decide silenciosamente si vive o muere, pero si todos viven, todos mueren.",,"El Al-Hadikhia elige 3 jugadores. Anunciá al primer jugador, despertalo para que asienta si elige vivir o niege si elige morir, mata o revivi acordemente, luego mandalo a dormir y anunciá al siguiente jugador. Si al finalizar los 3 estan vivos, los 3 mueren.",,"1,2,3,Eligió morir,Eligió vivir"
amnesiac,Amnésico,"No sabes cual es tu habilidad. Cada dia, en privado, intenta adivinar cual es: aprendes que tan acertado estuviste.",Decidí la habilidad del Amnésico. Si la habilidad del Amnésico hace que despierte de noche: Desperta al Amnésico para que la use.,Si la habilidad del Amnésico hace que despierte de noche: Desperta al Amnésico para que la use.,,?
angel,Angel,Algo malo le puede pasar a quien sea más responsable de la muerte de un jugador nuevo.,,,,"Proteger,Algo Malo"
apprentice,Aprendiz,"En tu 1ra noche, ganas una habilidad de Ciudadano (si sos bueno), o una habilidad de Secuaz (si sos malo).","Mostrale al Aprendiz la carta 'Vos sos', y luega una ficha de Ciudadano o Minion. En el Grimorio, reemplaza la ficha del Aprendiz por la del nuevo personaje, y ponele el recordatorio 'Es el Aprendiz'.",,,Es el Aprendiz
artist,Artista,"Una vez por partida, durante el dia, hacele una pregunta de si o no al Narrador en privado.",,,,Sin habilidad
assassin,Asesino,"Una vez por partida, a la noche, Elegí un jugador: muere, inclusive si por algún motivo no debería.",,"Si el Asesino todavía no usó su habilidad: El Asesino te muestra la señal de 'no' con la cabeza, o apunta a un jugador. Ese jugador muere.",,"Muerto,Sin habilidad"
atheist,Ateo,"El Narrador puede romper las reglas del juego y si es ejecutado, los buenos ganan, incluso si estás muerto [No hay personajes malos]",,,,
balloonist,Aeronauta,"Cada noche, aprendes 1 jugador de cada tipo de personaje, hasta que no queden más tipos para aprender [+1 Forastero]",Elegí un tipo de personaje. Apunta a un jugador de ese tipo de personaje. Pone el recordatorio de 'Vio (tipo)' junto al personaje.,"Elegí un tipo de personaje que no tenga el recordatorio 'Vio (tipo)' de ese tipo. Apunta a un jugador de ese tipo de personaje, si hay alguno. Pone el recordatorio de 'Vio (tipo)' junto al personaje.",,"Vio Ciudadano,Vio Forastero,Vio Secuaz,Vio Demonio,Vio Viajero"
barber,Peluquero,"Si moriste hoy, el demonio puede elegir 2 jugadores (no otro Demonio) para que cambien de personaje.",,"Si el Peluquero murió hoy, Desperta al Demonio. Mostrale la carta 'Este personaje te eligio', y después la ficha del Peluquero. El Demonio debe hacer una señal de 'no' con la cabeza, o apuntar a 2 jugadores. Si elige jugadores: Cambia sus fichas de personajes. Desperta a cada jugador. Mostrale 'Vos sos' y su nueva ficha de personaje.",,Cortes de pelo esta noche
barista,Barista,"Cada noche, hasta el atardecer, 1) un jugador se vuelve sobrio, saludable y consigue información verdadera, o 2) su habilidad funciona dos veces. El jugador sabe cual. ","Elegí a un jugador, despertalo y decile que poder de la Barista lo está afectando. Tratalo de forma acorde (sobrio/saludable/info verdadera o activa su habilidad dos veces)","Elegí a un jugador, despertalo y decile que poder de la Barista lo está afectando. Tratalo de forma acorde (sobrio/saludable/info verdadera o activa su habilidad dos veces)",,"Sobrio y Saludable,Habilidad dos veces"
baron,Barón,Hay Forasteros adicionales en juego [+2 Forasteros],,,,
beggar,Mendigo,"Tenes que usar una ficha de voto para votar. Jugadores muertos pueden elegir darte las suyas. Si lo hacen, aprendes su alineamiento. Estás sobrio y saludable.",,,,
bishop,Obispo,Solo el Narrador puede nominar. Al menos 1 jugador oponente debe ser nominado cada dia.,,,,"Nominar bueno,Nominar malo"
bonecollector,Coleccionista de Huesos,"Una vez por partida, de noche, elegí un jugador muerto: recuperan su habilidad hasta el atardecer.",,"El Coleccionista de Huesos niega con la cabeza o apunta a cualquier jugador muerto. Si apunta a un jugador muerto, pone el recordatorio 'Tiene Habilidad' junta la ficha de personaje del jugador Elegido (Puede que deban ser despertados para usarla.)",,"Sin habilidad,Tiene habilidad"
boomdandy,Boomdandy,"Si sos ejecutado, mueren todos menos 3 jugadores. 1 minuto después, el jugador que más jugadores están apuntando muere.",,,,
bountyhunter,Caza Recompensa,"Empezas conociendo a 1 jugador malvado. Si el jugador que conoces muere, conoces otro jugador malvado esa noche. [1 Ciudadano es malvado]",Apunta a 1 jugador malvado. Desperta al ciudadano malvado y mostrale la carte 'Vos sos' y la ficha de pulgar abajo malvado.,"Si el jugador conocido ha muerto, apunta a otro jugador malvado.",,Conocido
buddhist,Budista,"Los primeros 2 minutos de cada dia, jugadores veteranos tienen prohibido hablar.",,,,
bureaucrat,Burócrata,"Cada noche, Elegí un jugador (vos no): su voto cuenta como 3 votos mañana.",El Burócrata apunta a un jugador. Pone la ficha de '3 votos' junto a la ficha de personaje del jugador elegido.,El Burócrata apunta a un jugador. Pone la ficha de '3 votos' junto a la ficha de personaje del jugador Elegido.,,3 votos
butcher,Carnicero,"Cada noche, luego de la 1er ejecución, podés nominar otra vez.",,,,
butler,Mayordomo,"Cada noche, Elegí un jugador (vos no): mañana, solo podés votar si el jugador elegido vota.",El Mayordomo apunta a un jugador. Marca a ese jugador como 'Maestro'.,El Mayordomo apunta a un jugador. Marca a ese jugador como 'Maestro'.,,Maestro
cannibal,Canibal,"Tenes la habilidad del muerto ejecutado más reciente. Si era malvado, estás envenenado hasta que un jugador bueno muera por ejecución.",,,,"Envenenado,Murió hoy"
cerenovus,Cerenovus,"Cada noche, elegí un jugador y un personaje bueno:  mañana el jugador está 'enojado' por ser ese personaje, o puede ser ejecutado.","El Ceronovus apunta a un jugador, luego a un personaje en la hoja de personaje. Desperta a ese jugador. Mostrale la carta 'Este personaje te eligio', luego la ficha del Ceronovus. Mostrale la ficha del personaje elegido. Si el personaje no está enojado de ser ese personaje mañana, puede ser ejecutado.","El Ceronovus apunta a un jugador, luego a un personaje en la hoja de personaje. Desperta a ese jugador. Mostrale la carta 'Este personaje te eligio', luego la ficha del Ceronovus. Mostrale la ficha del personaje Elegido. Si el personaje no está enojado de ser ese personaje mañana, puede ser ejecutado.",,Enojado
chambermaid,Sirvienta,"Cada noche, Elegí dos jugadores vivos (vos no): aprendes cuantos despertaron por usar su habilidad.","La Sirvienta apunta a dos jugadores. Mostrale la señal (0, 1, 2, ...) de cuántos de ellos despertaron en la noche por su habilidad","La Sirvienta apunta a dos jugadores. Mostrale la señal (0, 1, 2, ...) de cuántos de ellos despertaron en la noche por su habilidad",,
chef,Chef,Empezas sabiendo cuántos pares de personajes malvados hay.,"Mostrale la señal (0, 1, 2, ...) igual a cuantos pares de jugadores malvados vecinos hay.",,,
choirboy,Chico del Coro,"Si el Demonio mata al Rey, aprendes que jugador es el Demonio. [+ el Rey]",,"Si el Rey fue asesinado por el Demonio, desperta al Chico del Coro y apunta al jugador Demonio.",,
clockmaker,Relojero,Empezas sabiendo cuántos pasos hay del Demonio hasta su Secuaz mas cercano.,"Mostrale la señal (1, 2, 3, etc.) igual al número de espacios entre el Demonio y su Secuaz más cercano",,,
courtier,Cortesano,"Una vez por partida, en la noche, elegí un personaje: está borracho por 3 noches y 3 días.","El Cortesano hace la señal de 'no' con la cabeza, o apunta a un jugador. Si el Cortesano usa su habilidad: Si el personaje está en juego, ese jugador está borracho.","Reducí el números de días restante del jugador envenenado. Si el Cortesano aún no usó su habilidad: El Cortesano hace la señal de 'no' con la cabeza, o apunta a un jugador. Si el Cortesano usa su habilidad: Si el personaje está en juego, ese jugador está borracho.",,"Borracho 3,Borracho 2,Borracho 1,Sin habilidad"
cultleader,Lider de Culto,"Cada noche, asumis el alineamiento de un vecino vivo. Si todos los jugadores buenos deciden unirse a tu culto, tu equipo gana.","Si el alineamiento del Líder de Culto cambio, mostrale pulgares arriba buenos o pulgares abajo malos respectivamente.","Si el alineamiento del Líder de Culto cambio, mostrale pulgares arriba buenos o pulgares abajo malos respectivamente.",,
damsel,Damisela,"Todos los Secuaces saben que estas en juego. Si un Secuaz te adivina publicamente (un intento), tu equipo pierde.","Desperta a todos los Secuaces, mostrales la carta 'Este personaje te eligió' y la ficha de la Damisela.","Si es Elegida por el Cazador, desperta a la Damisela, mostrale la carta 'Vos sos' y una ficha de un Ciudadano fuera de juego.",,Intento usado
deusexfiasco,Deus ex Fiasco,"Una vez por partida, el Narrador cometerá un 'error', lo corregirá y lo admitira públicamente.",,,,Whoops
deviant,Perverso,"Si fuiste gracioso hoy, no podés morir por exilio.",,,,
devilsadvocate,Abogado del Diablo,"Cada noche, elegí un jugador vivo (distinto a la última noche): si es ejecutado mañana, no muere.",El Abogado del Diablo apunta a un jugador vivo. Ese jugador sobrevive a ejecución mañana,"El Abogado del Diablo apunta a un jugador vivo, distinto de la noche anterior. Ese jugador sobrevive a ejecución mañana.",,Sobrevive ejecución
djinn,Genio,Usa la regla especial del Genio. Todos los jugadores saben cual es.,,,,
doomsayer,Agorero,"Si 4 o más jugadores siguen vivos, cada jugador vivo puede elegir públicamente (una vez por partida) que un jugador de su alineamiento muera.",,,,
dreamer,Soñador,"Cada noche, Elegí un jugador (ni vos ni Viajeros): aprendes 1 personaje bueno y 1 malo, solo 1 es correcto.","El Soñador apunta a un jugador. Mostrale 1 ficha de personaje bueno y 1 de personaje malo, solo una es correcta.","El Soñador apunta a un jugador. Mostrale 1 ficha de personaje bueno y 1 de personaje malo, solo una es correcta.",,
drunk,Borracho,"No sabes que sos el Borracho. Crees ser un personaje Ciudadano, pero no lo sos.",,,Borracho,
duchess,Duquesa,"Cada dia, 3 jugadores pueden elegir visitarte. En la noche*, cada visitante aprende cuantos visitantes eran malvados, pero 1 consigue información falsa.",,,,"Visitante,Información falsa"
empath,Empático,"Cada noche, aprendes cuántos de tus 2 vecinos vivos son malvados.","Mostrale la señal (0, 1, 2) igual a la cantidad vecinos vivos malvados que tiene el Empático.","Mostrale la señal (0, 1, 2) igual a la cantidad vecinos vivos malvados que tiene el Empático.",,
engineer,Ingeniero,"Una vez por partida, en la noche, Elegí qué Secuaces o que Demonio está en juego.","El Ingeniero muestra la señal de 'no' con la cabeza o apunta a un demonio o a un número relevante de Secuaces. Si el Ingeniero elige personajes, reemplaza al Demonio o los Secuaces por los elegidos, luego desperta a los personajes relevantes y mostrales la carta 'Vos sos' y la ficha de personaje relevante.","El Ingeniero muestra la señal de 'no' con la cabeza o apunta a un demonio o a un número relevante de Secuaces. Si el Ingeniero elige personajes, reemplaza al Demonio o los Secuaces por los Elegidos, luego desperta a los personajes relevantes y mostrales la carta 'Vos sos' y la ficha de personaje relevante.",,Sin habilidad
eviltwin,Gemelo Malvado,"Vos y un jugador oponente se conocen entre sí. Si el jugador bueno es ejecutado, el mal gana. El bien no puede ganar si ambos están vivos.",Desperta al Gemelo Malvado y a su gemelo. Asegurate de que se hayan visto. Apunta al Gemelo Malvado. Mostrale la ficha de Gemelo Malvado al jugador gemelo. Apunta al gemelo. Mostrale su ficha de personaje al Gemelo Malvado,,,Gemelo
exorcist,Exorcista,"Cada noche*, Elegí a un jugador (distinto de la noche anterior): el Demonio, si es elegido, aprende quien sos y luego no despierta a la noche.",,"El Exorcista apunta a un jugador, distinto de la noche anterior. Si este jugador es el demonio: Desperta al Demonio. Mostrale la ficha del Exorcista. Apunta al Exorcista. El Demonio no actúa esta noche.",,Elegído
fanggu,Fang Gu,"Cada noche*, Elegí un jugador: muere. El 1er Forastero que esto mate se transforma en Fang Gu malvado y vos morir en su lugar. [+1 Forastero]",,"El Fang Gu apunta a un jugador. Ese jugador muere. O, si el jugador era un Forastero y no hay otro Fang Gu en juego: El Fang Gu muere en su lugar. El jugador Elegido se convierte en un Fang Gu malvado. Mostrale la carta 'Vos sos' y luego la ficha del Fang Gu.",,"Muerto,Una vez"
farmer,Granjero,"Si moris de noche, un jugador vivo bueno se convierte en Granjero.",,"Si el Granjero murió esta noche, Elegí otro jugador bueno y convertilo en el Granjero. Desperta a este jugador, mostrale la carta 'Vos sos' y la ficha del Granjero.",,
fearmonger,Alarmista,"Cada noche, Elegí un jugador. Si lo nominas y ejecutas, su equipo pierde. Todos los jugadores saben que elegiste un jugador nuevo.",El Alarmista apunta a un jugador. Pone la ficha de Miedo junto al jugador y anuncia que un nuevo jugador a sido seleccionado con la habilidad del alarmista.,"El Alarmista apunta a un jugador. Si es distinto de la noche anterior, pone la ficha de Miedo junto al jugador y anuncia que un nuevo jugador a sido seleccionado con la habilidad del alarmista.",,Miedo
fibbin,Mentiroso,"Una vez por partida, 1 jugador bueno puede obtener información falsa.",,,,Usado
fiddler,Violinista,"Una vez por partida, el Demonio elige a un jugador oponente en secreto: todos los jugadores eligen cuál de los 2 jugadores ganan.",,,,
fisherman,Pescador,"Una vez por partida, durante el dia, visita al Narrador para que te de algun consejo para ayudarte a ganar.",,,,Sin habilidad
flowergirl,Chica de las Flores,"Cada noche*, aprendes si un demonio voto hoy.",,"Asenti 'si' o nega 'no' dependiendo si el Demonio voto hoy. Pone el marcador 'Demonio no voto' (quita 'Demonio voto', si lo hay).",,"Demonio voto,Demonio no voto"
fool,Tonto,"La primera vez que moris, no moris.",,,,Sin habilidad
fortuneteller,Adivino,"Cada noche, Elegí 2 jugadores: aprendes si alguno es el demonio. Hay un jugador bueno que registra como Demonio para vos.",El Adivina apunta a dos jugadores. Da la señal (asentir o negar) correspondientemente si alguno de los jugadores es el Demonio.,El Adivina apunta a dos jugadores. Da la señal (asentir o negar) correspondientemente si alguno de los jugadores es el Demonio.,,Pista falsa
gambler,Apostador,"Cada noche*, elegí un jugador y intenta adivinar su personaje: si estas equivocado, moris.",,"El Apostador apunta a un jugador, y a un personaje en la hoja de personajes. Si es incorrecto, el Apostador muere.",,Muerto
gangster,Mafioso,"Una vez por dia, podés elegir matar a un vecino vivo, solo si tu otro vecino vivo está de acuerdo.",,,,
general,General,"Cada noche, aprendes el alineamiento que el Narrador cree que está ganando: bien, mal, o ninguno.","Mostrale al General un pulgar arriba si está ganando el bien, para abajo si está ganando el mal, y para el costado si ninguno está ganando.","Mostrale al General un pulgar arriba si está ganando el bien, para abajo si está ganando el mal, y para el costado si ninguno está ganando.",,
goblin,Duende,"Si afirmas ser el Duende y sos nominado y ejecutado ese día, tu equipo gana. ",,,,Afirmado
godfather,Padrino,"Empezas sabiendo que Forasteros están en juego. Si 1 muere hoy, elegí un jugador a la noche: el jugador muere. [-1 o +1 Forastero]",Mostrale las fichas de los Forasteros en juego.,Si un Forastero murió hoy: el Padrino apunta a un jugador. Ese jugador muere.,,"Murió hoy,Muerto"
golem,Golem,"Solo podés nominar una vez por partida. Cuando lo haces, si el nominado no es el Demonio, el jugador muere.",,,,No puede nominar
goon,Matón,"Cada noche, el 1er personaje que te elija con su habilidad está borracho hasta el atardecer. Asumis su alineamiento.",,,,Borracho
gossip,Chismoso,"Cada dia, haces una declaración pública. Esta noche, si es verdad, un jugador muere.",,Si la declaración pública del Chismoso es verdadera: Elegí un jugador no protegido de morir esta noche. Ese jugador muere.,,Muerto
grandmother,Abuela,"Empezas conociendo a un jugador bueno y a su personaje. Si el Demonio lo mata, vos tambien moris.",Mostra la ficha del personaje marcado. Apunta al jugador marcado.,Si el nieto de la Abuela fue asesinado por el Demonio esta noche: La Abuela muere.,,Nieto
