id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Tasapainoilija,"Joka yö* jos kumpikaan hyvistä, elävistä naapureistasi on juopunut tai myrkytetty, sinä kuolet.",,"Jos hyvä naapuri on juopunut tai myrkytetty, Tasapainoilijan pelaaja kuolee.",,Kuollut
alchemist,Alkemisti,Sinulla on poissa pelistä olevan kätyrin kyky., Näytä Alkemistille poissa pelistä olevan kätyrin merkki.,,On Alkemisti,
alhadikhia,Al-Hadikhia,"Each night*, choose 3 players (all players learn who): each silently chooses to live or die, but if all live, all die.",,"The Al-Hadikhia chooses 3 players. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"1,2,3,Chose death,Chose life"
amnesiac,Muistinsa menettänyt,"Et tiedä mikä kykysi on. Joka päivä, voit yksityisesti arvata mikä kykysi on: saat tietää kuinka lähellä olet.","Valitse Muistinsa menettäneen kyky kokonaan. Jos hänen kykynsä vaatii herättämistä, herätä hänet tänään: Herätä Muistinsa menettänyt ja hoida hänen kykynsä.","Jos Muistinsa menettäneen kyky vaatii häntä heräämään, herätä hänet. Tee mitä valitsemasi kyky vaatii sinua tekemään.",,?
angel,Enkeli,Jotain pahaa saattaa tapahtua sille joka on eniten vastuussa uuden pelaajan kuolemasta.,,,,"Turvassa, Jotain pahaa"
apprentice,Oppipoika,"On your 1st night, you gain a Townsfolk ability (if good), or a Minion ability (if evil).","Show the Apprentice the 'You are' card, then a Townsfolk or Minion token. In the Grimoire, replace the Apprentice token with that character token, and put the Apprentice's 'Is the Apprentice' reminder by that character token.",,,Is the Apprentice
artist,Taiteilija,"Kerran pelissä, päivän aikana, kysy yksityisesti Tarinankertojalta kyllä/ei kysymys.",,,,Ei kykyä
assassin,Salamurhaaja,"Kerran pelissä, yöllä*, valitse pelaaja: hän kuolee vaikkei jostain syystä voisi kuolla.",,"Jos Salamurhaaja ei ole vielä käyttänyt kykyään: Salamurhaaja pudistaa päätään ein merkiksi, tai osoittaa pelaajaa. Osoitettu pelaaja kuolee. ",,"Kuollut, Ei kykyä"
atheist,Ateisti,"The Storyteller can break the game rules & if executed, good wins, even if you are dead [No evil characters]",,,,
balloonist,Kuumailmapalloilija,"Joka yö, opit yhden pelaajan joka hahmotyypistä, kunnes olet oppinut yhden jokaisesta. [+1 Ulkopuolinen]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Seen Townsfolk,Seen Outsider,Seen Minion,Seen Demon,Seen Traveller"
barber,Parturi,"Jos kuolit tänään päivällä tai yöllä, Demoni voi valita kaksi pelaajaa (ei toista Demonia) ja vaihtaa heidän hahmonsa.",,"If the Barber died today: Wake the Demon. Show the 'This character selected you' card, then Barber token. The Demon either shows a 'no' head signal, or points to 2 players. If they chose players: Swap the character tokens. Wake each player. Show 'You are', then their new character token.",,Hiustenleikkuut tänään
