id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,לולין,"בכל לילה*, אם אחד מהשכנים הטובים החיים שלך שיכור או מורעל, אתה מת.",,"אם שכן חי טוב של הלולין מורעל, הוא מת.",,מת
alchemist,אלכימאי,יש לך יכולת של משרת מחוץ למשחק.,הראה לאלכימאי דמות משרת מחוץ למשחק.,,הוא האלכימאי,
alhadikhia,אל-חדיקיה,"בכל לילה*, בחר שלושה שחקנים (כל השחקנים יודעים במי בחרת). כל אחד מהם בוחר לחיות או למות, אבל אם כולם בחרו לחיות, כולם מתים.",,"האל-חדיקיה בוחר שלושה שחקנים. תצהיר על השחקן הראשון שנבחר, הער אותו לנענע בראש כן כדי לחיות או לנדנד בראש כדי למות. תהרוג או תחיה בהתאם, ואז תרדים אותו ותכריז על השחקן הבא. אם שלושת השחקנים חיים אחרי זה, שלושתם מתים.",,"1,2,3,בוחר בחיים, בוחר במוות"
amnesiac,אמנזי,"אתה לא יודע מה היכולת שלך. בכל יום, אתה יכול לנחש בפרטיות מה היכולת. אתה לומד כמה אתה קרוב.","תחליט מה היכולת של האמנזי. אם היכולת שלו גורמת לו לקום בלילה, תעיר את האמנזי ותבצע את הפעולה בהתאם.","אם היכולת של האמנזי גורמת לו לקום בלילה, תעיר אותו ותבצע את הפעולה בהתאם.",,?
angel,מלאך,משהו רע עלול לקרות למי שהיה הכי אחראי על המוות של שחקן חדש.,,,,"מגן, משהו רע"
apprentice,מתמחה,"בלילה הראשון שלך, אתה מקבל יכולת של תושב-עיירה (אם אתה טוב) או של משרת (אם אתה רע).","הראה למתמחה את קל, ""אתה"" ואז קלף של תושב-עיירה או משרת. החלף את האסימון של המתמחה בגרימואר באסימון של תושב-העיירה או המשרת שהראית לו, והוסף את התזכורת של המתמחה לידו.",,,המתמחה
artist,אמן,"פעם אחת במשחק, במהלך היום, תשאל את מספר-הסיפורים בפרטיות שאלה של כן או לא.",,,,אין יכולת
assassin,מתנקש,"פעם אחת במשחק, במהלך הלילה, בחר שחקן: הוא מת, אפילו אם מסיבה מסוימת הוא לא יכול למות.",,"אם המתנקש עדיין לא השתמש ביכולת שלו: המתנקש מנדנד את הראש ""לא"" או מצביע על שחקן. השחקן הזה מת.",,"מת, אין יכולת"
atheist,אתאיסט,"מספר-הסיפורים יכול לשבור את חוקי המשחק ואם מוציאים אותו להורג, הטוב מנצח, אפילו אם אתה מת. [אין דמויות רעות]",,,,
balloonist,מפריח הבלונים,"בכל לילה, אתה לומד שחקן אחד מכל סוג דמות, עד שאין יותר סוגים ללמוד (תושב-עיירה, זר, משרת, שד). [+1 זר]","בחר סוג דמות. הצבע על שחקן שדמותו מהסוג הנבחר. הנח את אסימון ה""נראה"" של מפריח הבלונים ליד הדמות הזו.","בחר סוג דמות שאין אסימון ""נראה"" ליד דמות מהסוג הזה כבר. הצבע על שחקן שדמותו מהסוג הנבחר, אם נשארו כאלה. הנח את אסימון ה""נראה"" של מפריח הבלונים ליד הדמות הזו,.",,"ראה תושב-עיירה, ראה זר, ראה משרת, ראה שד, ראה מטייל"
barber,ספר,"אם מתת היום או הלילה, השד רשאי לבחור 2 שחקנים (לא עוד שד) כך שיחליפו דמויות.",,"אם הספר מת היום: הער את השד. הראה לו ""הדמות הזו בחרה אותך"" ואז את אסימון ה""ספר"". השד מנדנד את ראשו לשלילה או מצביע על 2 שחקנים. אם הוא בחר בשחקנים: החלף את אסימוני הדמויות שלהם. הער כל שחקן בנפרד. הראה להם ""אתה"" ואז את אסימון הדמות החדשה שלהם.",,מספר היום
barista,בריסטה,"בכל לילה, עד השחר 1) שחקן הופך לפיקח ובריא ומקבל את המידע הנכון או 2) היכולת שלו פועלת פעמיים. הבריסטה לומד מה קרה.","בחר שחקן, הער אותו וספר לו איזה מכוחות הבריסטה משפיע עליו. התייחס אליו בהתאם.","בחר שחקן, הער אותו וספר לו איזה מכוחות הבריסטה משפיע עליו. התייחס אליו בהתאם.",,"פיקח ובריא, יכולת פעמיים"
baron,ברון,יש יותר זרים במשחק. [+2 זרים],,,,
beggar,קבצן,"אתה חייב להשתמש באסימון ההצבעה שלך כדי להצביע. שחקנים מתים רשאים לתת לך את שלהם אם הם בוחרים בכך. אם זה קורה, אתה לומד האם הם טובים או רעים. אתה פיקח ובריא.",,,,
bishop,בישופ,רק מספר-הסיפורים יכול להעמיד להצבעה. לפחות שחקן אחד מהקבוצה הנגדית חייב לעמוד להצבעה בכל יום.,,,,"להציע טוב, להציע רע"
bonecollector,אספן העצמות,"פעם אחת במשחק, בלילה, בחר שחקן מת: הוא מקבל את היכולת שלו עד השחר.",,"אספן העצמות מנדנד את ראשו לשלילה או מצביע על שחקן מת. אם הוא הצביע על שחקן מת כלשהו, תשים את אסימון התזכורת ""יש יכולת"" של אספן העצמות על האסימון של השחקן המת. (יכול להיות שהוא יצטרך לקום בלילה).",,"אין יכולת, יש יכולת"
boomdandy,פצצאבאלה,"אם הוציאו אותך להורג, כולם מתים חוץ מ3 שחקנים. דקה לאחר מכן, השחקן שהכי הרבה שחקנים מצביעים עליו מת.",,,,
bountyhunter,צייד ראשים,"אתה מתחיל עם הידיעה ששחקן אחד הוא רע. אם השחקן שאתה יודע עליו מת, אתה לומד עוד דמות רעה במהלך הלילה. [תושב-עיירה אחד הוא רע]","תצביע על שחקן רע אחד. תעיר את תושב-העיירה שהוא רע והראו לו את הקלף ""אתה"" וסמן לו אגודל כלפי מטה, הסימן שמראה שהוא רע.","אם השחקן הרע הידוע מת, תצביע על שחקן רע אחר.",,ידוע
buddhist,בודהיסט,"ב2 הדקות הראשונות של כל יום, שחקנים ותיקים לא רשאים לדבר.",,,,
bureaucrat,משרדן,"בכל לילה, בחר שחקן (חוץ מעצמך): הקול שלו נחשב כ3 קולות מחר.","המשרדן מצביע על שחקן. שים את אסימון ה""3 קולות"" של הבירוקרטליד האסימון של הדמות של השחקן הנבחר.","המשרדן מצביע על שחקן. שים את אסימון ה""3 קולות"" של הבירוקרטליד האסימון של הדמות של השחקן הנבחר.",,3 קולות
butcher,קצב,"בכל יום, אחרי ההוצאה הראשונה להורג, אתה רשאי להעמיד להצבעה פעם נוספת.",,,,
butler,מלצר,"בכל לילה, בחר שחקן (חוץ מעצמך): מחר, אתה רשאי להצביע רק אם הוא מצביע גם כן.","המלצר מצביע על שחקן. סמן את השחקן הזה כ""אדון"".","המלצר מצביע על שחקן. סמן את השחקן הזה כ""אדון"".",,אדון
cannibal,קניבל,"יש לך את היכולת של האדם האחרון שהוצא להורג. אם  הוא היה רע, אתה מורעל עד ששחקן טוב מת על ידי הוצאה להורג.",,,,"מורעל, מת היום"
cerenovus,סרנובוס,"בכל לילה, תבחר שחקן ודמות טובה: הוא ""משוגע"" שהוא הדמות הזו מחר, או שהוא עלול למות.","הסרנובוס מצביע על שחקן ואז על דמות בדף שלו. תעיר את השחקן שנבחר. תראה את ""הדמות הזו בחרה אותך"" ואז את אסימון הסרנובוס. תראה את הדמות שנבחרה. אם השחקן לא ""משוגע"" שהוא הדמות הזו, הוא יכול למות.","הסרנובוס מצביע על שחקן ואז על דמות בדף שלו. תעיר את השחקן שנבחר. תראה את ""הדמות הזו בחרה אותך"" ואז את אסימון הסרנובוס. תראה את הדמות שנבחרה. אם השחקן לא ""משוגע"" שהוא הדמות הזו, הוא יכול למות.",,משוגע
chambermaid,חדרנית,"בכל לילה, תבחרי 2 שחקנים חיים (לא את עצמך): את לומדת כמה מהם קמו הלילה בגלל היכולת שלהם.","החדרנית מצביעה על שני שחקנים. תסמן את המספר (0,1,2) של כמה מהשחקנים שנבחרו קמו בלילה בגלל היכולת שלהם.","החדרנית מצביעה על שני שחקנים. תסמן את המספר (0,1,2) של כמה מהשחקנים שנבחרו קמו בלילה בגלל היכולת שלהם.",,
chef,שף,אתה מתחיל בידיעה של כמה זוגות של שחקנים רעים יש במשחק.,"תסמן עם האצבעות (0,1,2,...) את מספר הזוגות של שחקנים שכנים רעים.",,,
choirboy,נער מקהלה,"אם השד הורג את המלך, אתה לומד איזה שחקן הוא השד. [+מלך]",,"אם המלך נהרג ע""י השד, תעיר את נער המקהלה ותסמן לו מי השחקן של השד.",,
clockmaker,יצרן השעונים,אתה מתחיל בידיעה של כמה צעדים יש מהשד למשרת הקרוב אליו.,"תסמן עם האצבעות (1,2,3,...) כמה מקומות מהשד נמצא המשרת הקרוב ביותר.",,,
courtier,חצרן,"פעם אחת במשחק, בלילה, תבחר דמות: היא שיכורה ל3 לילות ו3 ימים.","החצרן מנדנד את ראשו לשלילה או מצביע על דמות בדף שלו. אם החצרן השתמש ביכולת שלו: אם הדמות הזו במשחק, הדמות הזו שיכורה ל3 ימים ו3 לילות.","הורד באחד את מספר הימים שנשארו לשחקן שנבחר להיות שיכור. אם החצרן לא השתמש ביכולת שלו עדיין: החצרן מנדנד את ראשו לשלילה או מצביע על דמות בדף שלו. אם החצרן השתמש ביכולת שלו: אם הדמות הזו במשחק, הדמות הזו שיכורה ל3 ימים ו3 לילות.",,"שיכור 3, שיכור 2, שיכור 1, אין יכולת"
cultleader,מנהיג הכת,"בכל לילה, אתה עובר לקבוצה של שכן חי שלך. אם כל השחקנים הטובים מצטרפים לכת שלך, הקבוצה שלך מנצחת.","אם מנהיג הכת עבר קבוצה, הראה לו אגודל מעלה כדי לסמן שהוא טוב או אגודל למטה כדי לסמן שהוא רע.","אם מנהיג הכת עבר קבוצה, הראה לו אגודל מעלה כדי לסמן שהוא טוב או אגודל למטה כדי לסמן שהוא רע.",,
damsel,עלמה,"כל המשרתים יודעים שהעלמה במשחק. אם משרת מנחש אותך בפומבי (פעם אחת), הקבוצה שלך מפסידה.","הער את כל המשרתים, הראה להם את אסימון ""הדמות הזו בחרה בך"" ואז את אסימון ה""עלמה"".","אם העלמה נבחרה על ידי הצייד, הער אותה והראה לה את אסימון ""את"" ואז אסימון של דמות שלא במשחק.",,ניחוש בוזבז
deusexfiasco,דוס אקס פיאסקו,"פעם אחת במשחק, מספר הסיפורים יעשה ""טעות"", תקן אותה ותודה בה באופן פומבי.",,,,אופסי
deviant,סוטה,"אם היית מצחיק היום, אי אפשר להגלות אותך.",,,,
devilsadvocate,פרקליט השטן,"בכל לילה, תבחר שחקן חי (שונה מהלילה הקודם): אם מוציאים אותו להורג מחר, הוא לא מת.",פרקליט השטן מצביע על אדם חי. הוא שורד את ההוצאה להורג מחר.,פרקליט השטן מצביע על אדם חי. הוא שורד את ההוצאה להורג מחר.,,שורד הוצאה להורג
