id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobata,"Éjjelente* ha valamelyik élő Jó szomszédod részeg vagy mérgezett, meghalsz.",,"Ha egy jó élő szomszéd részeg vagy mérgezett, az akrobata játékos meghal.",,Halott
alchemist,Alkimista,Megkapod egy nem játékban lévő Követő képességét.,Mutass az Alkimistának egy nem játékban lévő Minion képességet.,,Az Alkimista,
alhadikhia,Al-Hadikhia,"Éjjelente* válassz 3 játékost (mindenki megtudja kiket): Mindegyik csendben választ, hogy él vagy hal, de ha mindenki élne, mindenki meghal.",,"Az Al-Hadikhia 3 játékost választ. Bejelenti az első játékost, felébreszti, hogy bólintson igennel az élethez, vagy rázza a fejét nemmel a halálhoz, ennek megfelelően megöli vagy feltámasztja, majd elaltatja, és bejelenti a következő játékost. Ha ezek után mind a 3 játékos életben van, mind a 3 meghal.",,"1,2,3, Válassz halált, Válassz életet"
amnesiac,Amnéziás,Nem tudod mi a képességed. Minden nap privátban találgathatsz mi is az: megtudod mennyire tippeltél pontosan.,"Döntsd el az Amnéziás teljes képességét. Ha az Amnéziás képessége miatt ma éjszaka felébred: Ébreszd fel az Amnéziásat, és aktiváljátok a képességét.","Ha az Amnéziás képessége miatt ma éjszaka felébred: Ébreszd fel az Amnéziásat, és aktiváljátok a képességét.",,?
angel,Angyal,"Valami rossz történhet azzal, aki a legjobban felelős egy új játékos haláláért.",,,,"Védelem, Valami rossz"
apprentice,Tanonc,Az első éjjeleden megkapod egy Városi (ha Jó) képességét vagy egy Követő (ha Gonosz) képességét.,"Mutasd fel a Tanoncnak a ""Te vagy"" kártyát, majd egy Városlakó vagy Minion jelölőt. A Grimoár-ban cseréljétek le a Tanonc jelölőt erre a karakterjelölőre, és tegyétek a Tanonc 'Te vagy a Tanonc' emlékeztetőjét a karakterjelölő mellé.",,,Te vagy a Tanonc
artist,Művész,"Egyszer a játék során, nappal, privátban kérdezz a Mesélőtől egy eldöntendő kérdést.",,,,Nincs képesség
assassin,Bérgyilkos,"Egyszer a játék alatt, éjjel, válassz egy játékost: meghal, még akkor is ha valamilyen hatás miatt nem tudna.",,"Ha az Orgyilkos még nem használta a képességét: az Orgyilkos vagy 'nem'-et jelez a fejével, vagy egy játékosra mutat. Az a játékos meghal.",,"Halott, Nincs képesség"
atheist,Ateista,"A Mesélő áthághatja a szabályokat és ha kivégzik, akkor a Jók nyernek még ha halott is vagy. (nincsenek Gonosz karakterek)",,,,
balloonist,Hőlégballonos,"Éjjelente megtudsz egy játékost valamelyik karakter típusból egész addig, amíg már nem lesz több típus, amit megtudj. (+1 Kívülálló)","Válassz egy karaktertípust. Mutass egy olyan játékosra, akinek a karaktere az adott típusba tartozik. Helyezd a Léghajós emlékeztetőjelölőjét az adott karakter mellé.","Válass ki egy olyan karaktertípust, amelyhez még nincs emlékeztetőjelölő az adott típusú karakter mellett. Mutass egy olyan játékosra, akinek a karaktere az adott típusú, ha van ilyen. Helyezd a Léghajós emlékeztetőjelölőjét az adott karakter mellé.",,"Látottak: Démon, Minion, Kívülálló, Városlakó, Utazó"
