id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobat,"Hver natt*, om en av dine gode, levende naboer er full eller forgiftet, dør du.",,"Om en god levende nabo er full eller forgiftet, dør Akrobaten.",,Død
alchemist,Alkymist,Du har evnen til en Lakei ikke i spill.,Vis Alkymisten en Lakei-brikke ikke i spill.,,Er Alkymisten,
alhadikhia,Al-Hadikhia,"Hver natt*, velg 3 spillere (alle spillere lærer hvem): hver av dem velger i hemmelighet å leve eller å dø, men om alle lever, dør alle.",,"Al-Hadikhia velger tre spillere. Kunngjør den første spilleren, vekk dem for enten å nikke for ""ja"" eller riste på hodet for ""nei"", drep eller gjenoppliv dem ut ifra dette. Få spilleren til å sove igjen, og kunngjør neste spiller. Om alle spillerne er i live etter dette, dør alle.",,"1,2,3,Valgte døden,Valgte livet"
amnesiac,Forglemt,"Du vet ikke hva evnen din er. Hver dag, gjett i fortrolighet hva den er: lær hvor presis du er.",Bestem hva den Forglemte sin evne er. Om evnen til den Forglemte gjør at de våkner i natt: Vekk den Forglemte og tilrettelegg for at de kan bruke evnen sin.,Om evnen til den Forglemte gjør at de våkner i natt: Vekk den Forglemte og tilrettelegg for at de kan bruke evnen sin.,,?
angel,Skytsengel,Noe uhyggelig kan hende den som er mest ansvarlig for at en ny spiller døde.,,,,"Beskytt,Noe uhyggelig"
apprentice,Lærling,"I den første natten din, få evnen til en Borger om du er god, eller evnen til en Lakei om du er ond.","Vis Lærlingen ""Du er""-kortet, så en Borger- eller Lakei-brikke. I Boka, bytt ut Lærling-brikken med den viste rollebrikken, og marker rollebrikken med ""Er Lærlingen""-påminnelsen.",,,Er Lærlingen
artist,Kunstner,"Én gang i løpet av spillet, om dagen, spør i fortrolighet Fortelleren et ja/nei-spørsmål.",,,,Evneløs
assassin,Snikmorder,"Én gang i løpet av spillet, om natten*, velg en spiller: de dør, selv om de av andre grunner skulle være immun.",,"Om Snikmorderen ennå ikke har brukt evnen sin: Snikmorderen enten rister på hodet for ""nei"", eller peker mot en spiller. Spilleren dør.",,"Død,Evneløs"
atheist,Ateist,"Fortelleren kan bryte reglene til spillet. Godt lag vinner om de henretter Fortelleren, selv om du er død. [Ingen onde roller]",,,,
balloonist,Ballongfarer,"Hver natt, lær 1 spiller av hver rolletype, til det ikke er flere typer å lære igjen. [+1 Einstøing]","Velg en rolletype. Pek mot en spiller som har en rolle av den typen. Marker spilleren med ""Sett""-påminnelsen.","Velg en rolletype som ikke allerede har en ""Sett""-påminnelse ved siden av en rolle av denne typen. Pek mot en spiller som har en rolle av den typen. Marker spilleren med ""Sett""-påminnelsen.",,"Sett Borger,Sett Einstøing,Sett Lakei,Sett Demon,Sett Omreisende"
barber,Frisør,"Om du døde i dag eller i natt, kan Demonen velge 2 spillere utenom en annen Demon: de bytter rolle.",,"Om Frisøren døde i dag: Vekk Demonen. Vis dem ""Denne rollen valgte deg""-kortet, så Frisør-brikken. Demonen enten rister på hodet for ""nei"", eller peker mot to spillere. Om de velger spillere, bytt om på rollebrikkene deres. Vekk dem begge, en om gangen, og vis dem ""Du er""-kortet først, så deres nye rollebrikke.",,Hårklipp i natt
barista,Barista,"Hver natt, til skumring, 1) en spiller blir frisk, edru & gis sann kunnskap, eller 2) evnen deres virker 2 ganger. Spilleren lærer hvilken.","Velg en spiller, vekk dem og fortell dem hvilken av Baristaens krefter påvirker dem. Behandle dem således (frisk/edru/sann kunnskap eller la dem bruke evnen sin to ganger).","Velg en spiller, vekk dem og fortell dem hvilken av Baristaens krefter påvirker dem. Behandle dem således (frisk/edru/sann kunnskap eller la dem bruke evnen sin to ganger).",,"Edru & Frisk,Evne 2 ganger"
baron,Greve,Flere Einstøinger er i spill. [+2 Einstøinger],,,,
beggar,Tigger,Du må benytte deg av en stemmebrikke for å stemme. Døde spillere kan velge å gi deg deres. I så fall lærer du lojaliteten deres. Du er frisk & edru.,,,,
bishop,Biskop,Kun Fortelleren kan nominere. Minst 1 spiller av motsatt lojalitet må nomineres hver dag.,,,,"Nominer godt,Nominer ondt"
bonecollector,Knokkelsamler,"Én gang i løpet av spillet, om natten, velg en død spiller: evnen deres virker på ny til daggry.",,"Knokkelsamleren enten rister på hodet for ""nei"", eller peker mot en død spiller. Om de pekte mot en død spiller, marker den valgte spillerens rollebrikke med ""Har evne""-påminnelsen. (Spilleren må kanskje vekkes sånn at de skal kunne bruke evnen sin.)",,"Evneløs,Har evne"
boomdandy,Knallkar,"Om du henrettes, dør alle spillere utenom 3. 1 minutt senere vil spilleren flest peker på også dø.",,,,
bountyhunter,Dusørjeger,"Du vet fra spillets begynnelse 1 ond spiller. Om spilleren du vet dør, lær en ny ond spiller i natt. [1 Borger er ond]","Pek mot en ond spiller. Vekk Borgeren som er ond og vis dem ""Du er""-kortet og tommel ned, håndtegnet for ""ond"".","Om spilleren markert med ""Vet"" dør, pek mot en annen ond spiller.",,Vet
buddhist,Buddhist,Erfarne spillere får ikke lov å snakke de 2 første minuttene hver dag.,,,,
bureaucrat,Byråkrat,"Hver natt, velg en spiller utenom deg selv: stemmen deres telles som 3 i morgen.","Byråkraten peker mot en spiller. Marker spilleren med ""3 stemmer"".","Byråkraten peker mot en spiller. Marker spilleren med ""3 stemmer"".",,3 stemmer
butcher,Slakter,"Hver dag, etter første henrettelse, nominer igjen om du vil.",,,,
butler,Hovmester,"Hver natt, velg en spiller utenom deg selv: i morgen kan du kun stemme om de også stemmer.","Hovmesteren peker mot en spiller annerledes seg selv. Marker spilleren som ""Herre"".","Hovmesteren peker mot en spiller annerledes seg selv. Marker spilleren som ""Herre"".",,Herre
cannibal,Menneskeeter,"Du har evnen til spilleren nyligst drept ved henrettelse. Om de er ond, forgiftes du til en god spiller dør ved henrettelse.",,,,"Forgiftet,Døde i dag"
cerenovus,Cerenov,"Hver natt, velg en spiller & en god rolle: de er ""manisk"" de er den rollen, om ikke kan det hende de henrettes.","Cerenoven peker mot en spiller, så på en rolle på rollearket. Vekk spilleren, vis dem ""Denne rollen valgte deg""-kortet, så Cerenov-brikken. Vis dem den valgte rollebrikken. Om spilleren ikke er manisk de er den rollen i morgen, kan de henrettes.","Cerenoven peker mot en spiller, så på en rolle på rollearket. Vekk spilleren, vis dem ""Denne rollen valgte deg""-kortet, så Cerenov-brikken. Vis dem den valgte rollebrikken. Om spilleren ikke er manisk de er den rollen i morgen, kan de henrettes.",,Manisk
chambermaid,Kammerpike,"Hver natt, velg 2 levende spillere utenom deg selv: lær hvor mange av dem våknet i natt på grunn av evnen sin.","Kammerpika peker mot to spillere. Hold frem antall fingre (0, 1, 2) tilsvarende hvor mange av de valgte spillerne våknet i natt på grunn av evnen sin.","Kammerpika peker mot to spillere. Hold frem antall fingre (0, 1, 2) tilsvarende hvor mange av de valgte spillerne våknet i natt på grunn av evnen sin.",,
chef,Kokk,Du vet fra spillets begynnelse hvor mange par med onde spillere som finnes.,"Hold frem antall fingre (0, 1, 2, …) tilsvarende par med onde spillere.",,,
choirboy,Korgutt,"Om Demonen dreper Kongen, lær hvem Demonen er. [+ Kongen]",,"Om Kongen var drept av Demonen, vekk Korgutten og pek mot spilleren som er Demonen.",,
clockmaker,Urmaker,Du vet fra spillets begynnelse hvor mange steg fra Demonen til nærmeste Lakei.,"Hold frem antall fingre (0, 1, 2, …) tilsvarende steg fra Demon til nærmeste Lakei.",,,
courtier,Kavaler,"Én gang i løpet av spillet, om natten, velg en rolle: de er full for 3 netter & 3 dager.","Kavaleren enten rister på hodet for ""nei"", eller peker på en rolle på rollearket. Om kavaleren brukte evnen sin: Om rollen er i spill, er den spilleren full.","Kort ned på antall dager den markerte spilleren er forgiftet. Om Kavaleren ennå ikke har brukt evnen sin: Kavaleren enten rister på hodet for ""nei"", eller peker på en rolle på rollearket. Om kavaleren brukte evnen sin: Om rollen er i spill, er den spilleren full.",,"Full 3,Full 2,Full 1,Evneløs"
cultleader,Sektleder,"Hver natt, få lojaliteten til en levende nabo. Om alle gode spillere velger å bli med i sekten din, vinner laget ditt.","Om Sektlederen byttet lojalitet, vekk dem og vis dem det relevante håndtegnet, enten tommel opp, håndtegnet for ""god"", eller tommel ned, håndtegnet for ""ond"".","Om Sektlederen byttet lojalitet, vekk dem og vis dem det relevante håndtegnet, enten tommel opp, håndtegnet for ""god"", eller tommel ned, håndtegnet for ""ond"".",,
