id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobat,"Kvar natt*, om ein av dine gode, levande naboar er full eller forgifta, døyr du.",,"Om ein god levande nabo er full eller forgifta, døyr Akrobaten.",,Daud
alchemist,Alkymist,Du har evna til ein Lakei ikkje i spel.,Vis Alkymisten ei Lakei-brikke ikkje i spel.,,Er Alkymisten,
alhadikhia,Al-Hadikhia,"Kvar natt*, vel 3 spelarar (alle spelarane lærer kven): kvar av dei vel i løyndom å leve eller å døy, men om alle lever, døyr alle.",,"Al-Hadikhia vel tre spelarar. Kunngjer den fyrste spelaren, vekk dei for anten å nikke for ""ja"" eller riste på hovudet for ""nei"", drep eller gjenoppliv dei ut ifrå dette. Få spelaren til å sove att, og kunngjer neste spelar. Om alle spelarane er i live etter dette, døyr alle.",,"1,2,3,Valde dauden,Valde livet"
amnesiac,Forgløymd,"Du veit ikkje kva evna di er. Kvar dag, giss i fortrulegheit kva ho er: lær kor presis du er.",Avgjer kva evna til den Forgløymde er. Om evna til den Forgløymde gjer at dei vaknar i natt: Vekk den Forgløymde og legg til rette for at dei kan nytte evna si.,Om evna til den Forgløymde gjer at dei vaknar i natt: Vekk den Forgløymde og legg til rette for at dei kan nytte evna si.,,?
angel,Verjeengel,Noko ugreitt kan hende spelaren som er mest ansvarleg for at ein ny spelar døydde.,,,,"Verj,Noko ugreitt"
apprentice,Lærling,"I den fyrste natta di, få evna til ein Borgar om du er god, eller evna til ein Lakei om du er vond.","Vis Lærlingen ""Du er""-kortet, så ei Borgar- eller Lakei-brikke. I Boka, byt ut Lærling-brikka med den viste rollebrikka, og marker rollebrikka med ""Er Lærlingen""-påminninga.",,,Er Lærlingen
artist,Kunstnar,"Éin gong i løpet av spelet, om dagen, spør i fortrulegheit Forteljaren eit ja/nei-spørsmål.",,,,Evnelaus
assassin,Snikmordar,"Éin gong i løpet av spelet, om natta*, vel ein spelar: dei døyr, sjølv om dei av andre grunnar skulle vere immun.",,"Om Snikmordaren enno ikkje har nytta evna si: Snikmordaren anten ristar på hovudet for ""nei"", eller peikar mot en spelar. Spelaren døyr.",,"Daud,Evnelaus"
atheist,Ateist,"Forteljaren kan bryte reglane til spelet. Godt lag vinn om dei avrettar Forteljaren, sjølv om du er daud. [Ingen vonde roller]",,,,
balloonist,Ballongfarar,"Kvar natt, lær 1 spelar av kvar rolletype, til det ikkje er fleire typar å lære att. [+1 Einstøing]","Vel ein rolletype. Peik mot ein spelar som har ei rolle av den typen. Marker spelaren med ""Sett""-påminninga.","Vel ein rolletype som ikkje allereie har ei ""Sett""-påminning attmed ei rolle av denne typen. Peik mot ein spelar som har ei rolle av den typen. Marker spelaren med ""Sett""-påminninga.",,"Sett Borgar,Sett Einstøing,Sett Lakei,Sett Demon,Sett Omreisande"
barber,Frisør,"Om du døydde i dag eller i natt, kan Demonen velje 2 spelarar utanom ein annan Demon: dei byter rolle.",,"Om Frisøren døydde i dag: Vekk Demonen. Vis dei ""Denne rolla valde deg""-kortet, så Frisør-brikka. Demonen anten ristar på hovudet for ""nei"", eller peikar mot to spelarar. Om dei vel spelarar, byt om på rollebrikkene deira. Vekk båe spelarane, ein om gongen, og vis dei ""Du er""-kortet fyrst, så den nye rollebrikka deira.",,Hårklipp i natt
