id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acrobata,"A cada noite*, se algum de seus vizinhos vivos do bem estiver bêbado ou envenenado, você morre.",,"Se algum dos vizinhos bons do Acrobata está bêbado ou envenenado, o Acrobata morre.",,Morto
alchemist,Alquimista,Você tem a habilidade de um Lacaio que não está em jogo.,Mostre ao Alquimista um token de um Lacaio que não esteja em jogo.,,é o Alquimista,
alhadikhia,Al-Hadikhia,"A cada noite*, escolha 3 jogadores (todos sabem quem são): em silêncio, cada alvo decide se vive ou morre, mas se todos viverem, todos morrem.",,"O Al-Hadikhia escolhe 3 jogadores. Anuncie o primeiro jogador. Acorde-o para sinalizar 'sim' ou 'não' com a cabeça indicando se quer viver ou morrer respectivamente. Mate ou reviva comforme a escolha. Adormeça o jogador, anuncie o próximo alvo e repita o processo até ter passado por todos os 3 alvos. Após isso, se os 3 ainda vivem, todos os 3 morrem.",,"1,2,3,Morte,Vida"
amnesiac,Esquecido,"Você não sabe qual é a sua habilidade. A cada dia, visite o Narrador para tentar adivinhar a sua habilidade: saiba o quão perto está da resposta.",Decida a habilidade do Esquecido. Se a habilidade do Esquecido faz com que ele acorde esta noite: Acorde o Esquecido e execute sua habilidade.,Se a habilidade do Esquecido faz com que ele acorde esta noite: Acorde o Esquecido e execute sua habilidade.,,?
angel,Anjo,Algo ruim pode acontecer com quem for o maior responsável pela morte de um jogador novato.,,,,"Protegido,Algo Ruim"
apprentice,Aprendiz,"Na sua primeira noite, você ganha uma habilidade de Cidadão (se for do bem), ou de Lacaio (se for do mal).","Mostre ao Aprendiz o token 'Você é', e um token de Cidadão ou Lacaio. No Grimório, substitua o token do Aprendiz com o daquele personagem e coloque o lembrete 'É o Aprendiz' próximo a ele.",,,É o Aprendiz
artist,Artista,"Uma vez por jogo, durante o dia, em segredo, faça uma pergunta de 'sim ou não' para o Narrador.",,,,Sem habilidade
assassin,Assassino,"Uma vez por jogo, à noite*, escolha um jogador: ele morre mesmo que, por alguma razão, não possa morrer.",,"Se o Assassino ainda não usou a habilidade: o Assassino pode sinalizar 'não' com a cabeça, ou escolher um jogador: o alvo morre, mesmo que algo impeça isso.",,"Morto,Sem habilidade"
atheist,Ateísta,"O Narrador pode quebrar as regras do jogo e, se executado, o bem vence, mesmo se você estiver morto. [Sem jogadores do mal]",,,,
balloonist,Balonista,"A cada noite, saiba um jogador de um tipo de personagem diferente, até que você saiba um jogador para cada tipo de personagem possível. [+1 Forasteiro]",Escolha um tipo de personagem. Aponte para um jogador cujo personagem é desse tipo. Coloque o lembrete 'Visto' do Balonista ao lado desse personagem.,"Escolha um tipo de personagem que você ainda não escolheu. Informe ao Balonista um jogador cujo personagem é desse tipo, se houver algum. Coloque o lembrete 'Visto' do Balonista ao lado desse personagem.",,"Cidadão Visto,Demônio Visto,Forasteiro Visto,Lacaio Visto,Viajante Visto"
barber,Barbeiro,"Se você morreu hoje (de dia ou de noite), o Demônio poderá escolher dois jogadores (exceto outro Demônio): eles trocam de personagens entre si.",,Se o Barbeiro morreu hoje: Acorde o Demônio. Mostre o token 'Você foi alvo desta habilidade' e o token do Barbeiro. O Demônio pode recusar usar a habilidade do Barbeiro ou escolher 2 jogadores que não sejam Demônio. Se ele escolher jogadores: Troque as fichas de personagem dos alvos. Acorde cada jogador escolhido. Informe-os quais são seus novos personagens.,,Cortes de Cabelo hoje
barista,Barista,"A cada noite, até o anoitecer, 1) um jogador fica sóbrio, desenvenenado e ganha informações verdadeiras, ou 2) a habilidade de um jogador funciona 2x. O jogador afetado sabe o efeito.","Escolha um jogador, acorde-o e mostre-o qual poder do Barista o está afetando (1 ou 2).","Escolha um jogador, acorde-o e mostre-o qual poder do Barista o está afetando (1 ou 2).",,"Habilidade 2x,Sóbrio e Desenvenenado"
baron,Barão,Há Forasteiros adicionais em jogo. [+2 Forasteiros],,,,
beggar,Pedinte,"Você precisa de um token de voto para votar. Jogadores mortos podem escolher doar os deles a você. Caso façam, saiba o alinhamento deles.",,,,
bishop,Bispo,Apenas o Narrador pode nomear. Pelo menos 1 jogador do alinhamento oposto ao seu será nomeado a cada dia.,,,,"Nomear bom,Nomear mau"
bonecollector,Coletor de Ossos,"Uma vez por jogo, à noite, escolha um jogador morto: ele recupera a habilidade até o anoitecer.",,"O Coletor de Ossos pode sinalizar 'não' com a cabeça ou apontar para um jogador morto. Se apontar para um jogador morto, marque o alvo com o token 'Tem habilidade' e marque o Coletor de Ossos com o token 'Sem habilidade'.",,"Sem habilidade,Tem habilidade"
boomdandy,Boomdandy,"Se você for executado, todos morrem, exceto 3 jogadores. 1 minuto depois, o jogador que estiver sendo apontado pelo maior número de jogadores morre.",,,,
bountyhunter,Caçador de Recompensas,"Você começa o jogo sabendo 1 jogador do mal. Quando esse jogador morrer, saiba outro jogador do mal esta noite. [1 Cidadão é do mal]","Antes da partida começar, escolha um cidadão para ser mau. Escolha um dos jogadores maus para ser Caçador de Recompensas. Informe ao Cidadão mau sobre o allinhamento dele no início da primeira noite. Acorde o Caçador de Recompensas e aponte para o jogador marcado como alvo.","Cado o alvo do Caçador de Recompensas esteja morto ou tenha se tornado bom, mude o alvo para outro jogador mau, acorde o Caçador de Recompensas e aponte para o novo alvo.",,Alvo
buddhist,Budista,"Durante os primeiros 2 minutos de cada dia, jogadores veteranos não podem falar.",,,,
