id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobat,"Varje natt*, om någon god levande granne är full eller förgiftad, dör du.",,Om en god levande granne är full eller förgiftad så dör Akrobaten.,,Död
alchemist,Alkemist,Du har förmågan av en Undersåte som inte är med i spelet.,Visa Alkemisten en Undersåte som inte är med i spelet.,,Är Alkemist,
alhadikhia,Al-Hadikhia,"Varje natt*, välj 3 spelare (alla spelare får veta ditt val): varje spelare väljer i tystnad att leva eller dö, men om alla lever, så dör alla.",,"Al-Hadikhia väljer 3 spelare. Utropa den första spelaren, väck dem för att nicka för att leva eller skaka på huvudet för att dö, döda eller återuppliva enligt valet, få spelaren att blunda och sedan utropa nästa spelare. Om alla 3 lever efter processen, så dör alla 3.",,"1,2,3,Välj död,Välj leva."
amnesiac,Minnessjuk,"Du vet inte vad din förmåga är. Varje dag, gissa privat vad din förmåga är: du får reda på hur nära du är.",Bestäm den Minnessjukes förmåga. Om den Minnessjukes förmåga gör så de vaknar under natten: väck den Minnessjuke och utför deras förmåga.,Om den Minnessjukes förmåga gör så de vaknar under natten: väck den Minnessjuke och utför deras förmåga.,,?
angel,Ängel,Något dåligt kan hända för spelaren som är mest ansvarig för en ny spelares död.,,,,"Protect,Something Bad"
apprentice,Lärling,"Under din första natt får du en Bybos förmåga (om du är god), eller en Undersåtes förmåga (om du är ond).","Visa Lärlingen ""Du är"" kortet, sedan en Bybo eller en Undersåte. I grimoaren, byt ut Lärlingen med den karaktärens du visat, och sätt Lärlingens ""Är Lärlingen"" markör bredvid den nya karaktären.",,,Är Lärlingen
artist,Artist,"En gång per spel, under dagen, fråga Berättaren privat en ja/nej fråga.",,,,Ingen förmåga
assassin,Lönnmördare,"En gång per spel, om natten*, välj en spelare: de dör, även om de av någon anledning inte skulle kunna dö.",,"Om Lönnmördaren inte har använt sin förmåga: Lönnmördaren skakar antingen på huvudet för nej, eller pekar på en spelare. Den spelaren dör.",,"Död,Ingen förmåga"
atheist,Ateist,"Berättaren kan bryta spelreglerna & om du blir avrättad, vinner goda laget, även om du är död [Inga onda karaktärer]",,,,
balloonist,Ballongfarare,"Varje natt, får du reda på 1 spelare av varje karaktärstyp, tills det inte finns några fler typer att få reda på. [+1 Utböling]","Välj en karaktärtyp. Peka på en spelare vars karaktär är av samma typ. Placera Ballongfararens ""Sett"" markör bredvid den karaktären.","Välj en karaktärstyp som inte har en ""Sett"" markör bredvid en karaktär av den typen. Peka på en spelare vars karaktär är av den typen, om det finns några. Placera Ballongfararens ""Sett"" markör bredvid den karaktären.",,"Sett Bybo,Sett Demon,Sett Undersåte,Sett Utböling,Sett Resande"
barber,Barberare,"Om du dog idag eller inatt, kan Demonen välja 2 spelare (inte en annan Demon) som byter karaktärer.",,"Om Barberaren dog idag: Väck Demonen. Visa ""Den här karaktären valde dig"" kortet, sen Barberaren. Demonen skakar antingen på huvudet för att inte byta någon karaktär, eller pekar på 2 spelare. Om de väljer spelare: Byt deras karaktärer. Väck varje vald spelare. Visa ""Du är"", sen deras nya karaktär.",,Klippt sig
barista,Barista,"Varje natt, tills skymning, 1) en spelare blir nykter, frisk och får sann information, eller 2) deras förmåga fungerar två gånger. De får reda på vilken.","Välj en spelare, väck dem och berätta för dem vilken av Baristans förmågor påverkar dem. Behandla dem sedan enligt förmågan (nykter/frisk/sann information eller aktivera deras förmåga två gånger)","Välj en spelare, väck dem och berätta för dem vilken av Baristans förmågor påverkar dem. Behandla dem sedan enligt förmågan (nykter/frisk/sann information eller aktivera deras förmåga två gånger)",,"Förmåga två gånger,Nykter & Frisk"
baron,Baron,Det finns extra Utbölingar i spel. [+2 Utbölingar],,,,
