id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Nghệ sĩ xiếc,"Mỗi đêm*, nếu bất kì hàng xóm thiện của bạn bị trúng độc hoặc bị say, bạn chết",,"Nếu bất kì hàng xóm thiện của họ trúng độc hoặc bị say, Nghệ sĩ xiếc chết",,Chết
alchemist,Nhà giả kim,Bạn có chức năng của Tay sai ngoài cuộc.,Cho Nhà giả kim thấy thẻ của tay sai ngoài cuộc,,là Nhà giả kim,
alhadikhia,Al-Hadikhia,"Mỗi đêm*, chọn 3 người (mọi người biết là ai): mỗi người bí mật chọn được sống hoặc chết, nếu tất cả chọn sống, họ cùng chết",,"Al-Hadikhia chọn 3 người. Thông báo người đầu tiên, gọi họ dậy để gật đầu có để sống, lắc đầu không để chết, giết hoặc hồi sinh phù hợp, rồi cho họ đi ngủ và thông báo người tiếp theo. nếu cả 3 cùng sống sau này, họ cùng chết.",,"1,2,3,Chọn chết,Chọn sống"
amnesiac,Mất trí nhớ,"Bạn không biết bạn có chức năng gì. Mỗi ngày, đoán nó là gì: bạn biết độ chính xác của dự đôán.",Quyết định chức năng của Mất trí nhớ. Nếu chức năng của họ cần họ phải dậy trong đêm nay: Gọi Mất trí nhớ dậy và thực hiện chức năng.,Nếu chức năng của Mất trí nhớ cần họ phải dậy trong đêm nay: Gọi Mất trí nhớ dậy và thực hiện chức năng.,,?
angel,Thiên thần,"Nếu người chơi mới bị chết, ai có trách nhiệm nhiều nhất có thể sẽ bị gặp điều xấu.  ",,,,"Bảo vệ,Điều xấu"
apprentice,Tập sự,"Vào đêm đâu tiên của bạn, bạn có chức năng của Dân làng (nếu là thiện), hoặc của Tay sai (nếu là ác).","Cho tập sự thấy lá 'Bạn là', và thẻ Dân làng hoặc Tay sai. Trong Grimoire, thay thẻ Tập sự với thẻ nhân vật đó, và đặt đánh dấu ""là Tập sụ"" của Tập sự bên cạnh thẻ đó",,,là Tập sự
artist,Họa sĩ,"Một lần trong game, trong ngày, bí mật hỏi Người kể chuyện bất kỳ câu hỏi đúng sai.",,,,Hết chức năng
assassin,Sát thủ,"Một lần trong game, trong đêm*, chọn 1 người: họ chết, ngay cả bằng lý do đó mà họ không thể",,"Nếu Sát thủ chưa dùng chức năng: Sát thủ có thể lắc đầu, hoặc chỉ một người. Người đó chết.",,"Chết,Hết chức năng"
atheist,Vô thần,"Người kể chuyện có thể phá luật & nếu bị hành quyết, phe thiện thắng, ngay cả khi bạn chết [Không có nhân vật ác]",,,,
balloonist,Khinh khí cầu gia,"Mỗi đêm, bạn biết 1 người thuộc về mỗi loại nhân vật cho đến khi hết loại nhân vật. [+1 Lữ khách]",Chọn 1 loại nhân vật. Chỉ người thuộc về loại nhân vật đó. Đặt đánh dấu Đã biết của Khinh khí cầu gia cạnh nhân vật đó.,"Chọn 1 loại nhân vật chưa có thẻ đánh dấu Đã biết cạnh nhân vật. Chỉ 1 người có nhân vật thuộc loại đó, nếu còn. Đặt đánh dấu Đã biết của Khinh khí cầu gia cạnh nhân vật đó.",,"Dân làng đã biết,Lữ khách đã biết,Tay sai đã biết,Quỷ đã biết,Du khách đã biết"
barber,Thợ cắt tóc,"Nếu bạn chết hôm nay, trong đêm Quỷ có thể chọn 2 người (không phải Quỷ khác) để tráo nhân vật.",,"Nếu Thợ cắt tóc chết hôm nay: Gọi Quỷ dậy. Cho xem là 'Nhân vật này chọn bạn' và thẻ Thợ cắt tóc. Quỷ có thể lắc đầu, hoặc chỉ 2 người. Nếu họ chọn người: Tráo thẻ nhân vật. Gọi mỗi người. Cho xem 'Bạn là', và thẻ nhân vật mới.",,Cắt tóc đêm nay
